,2012,2013,2014,2015,2016
"""Dry-goods!",0.0,0.0,0.0,1.0,0.0
"""Dunce."")",0.0,0.0,0.0,1.0,0.0
"""E""",0.0,0.0,0.0,1.0,0.0
"""E.",0.0,0.0,0.0,0.0,1.0
"""EDW.",0.0,0.0,0.0,0.0,1.0
"""EL",3.0,0.0,0.0,0.0,0.0
"""Each",0.0,0.0,0.0,1.0,0.0
"""Easy",0.0,1.0,0.0,0.0,0.0
"""Easy!""",0.0,1.0,0.0,0.0,0.0
"""Eate",1.0,0.0,0.0,0.0,0.0
"""Edward",0.0,0.0,0.0,0.0,1.0
"""Edward's",0.0,0.0,0.0,0.0,1.0
"""Edwin",0.0,1.0,0.0,0.0,0.0
"""Eglow,",0.0,0.0,0.0,1.0,0.0
"""Eh?",0.0,0.0,0.0,2.0,0.0
"""Eh?""",1.0,0.0,0.0,0.0,0.0
"""Eight",0.0,0.0,0.0,1.0,0.0
"""Eighteen",0.0,0.0,0.0,3.0,0.0
"""El",2.0,0.0,0.0,0.0,0.0
"""Elinor",0.0,0.0,0.0,0.0,1.0
"""Elinor,",0.0,0.0,0.0,0.0,4.0
"""Elinor,""",0.0,0.0,0.0,0.0,1.0
"""Elizabeth",0.0,0.0,0.0,0.0,1.0
"""Elizabeth,",0.0,0.0,0.0,0.0,1.0
"""En",0.0,2.0,0.0,0.0,0.0
"""Encyclopaedia",0.0,0.0,0.0,1.0,0.0
"""Encyclopaedia""",0.0,0.0,0.0,1.0,0.0
"""Engaged",0.0,0.0,0.0,0.0,1.0
"""Engaged!",0.0,0.0,0.0,0.0,1.0
"""Engagement!""",0.0,0.0,0.0,0.0,1.0
"""Enoch",1.0,0.0,0.0,0.0,0.0
"""Enter,",1.0,0.0,0.0,0.0,0.0
"""Enter,""",1.0,0.0,0.0,0.0,0.0
"""Entirely.""",0.0,0.0,0.0,2.0,0.0
"""Er--was",1.0,0.0,0.0,0.0,0.0
"""Especially",1.0,0.0,0.0,1.0,0.0
"""Esteem",0.0,0.0,0.0,0.0,1.0
"""Even",2.0,0.0,0.0,2.0,1.0
"""Ever",0.0,0.0,1.0,0.0,0.0
"""Everlasting",1.0,0.0,0.0,0.0,0.0
"""Every",5.0,0.0,0.0,2.0,1.0
"""Everybody",0.0,0.0,0.0,1.0,0.0
"""Everything",1.0,0.0,0.0,0.0,0.0
"""Everything's",0.0,1.0,0.0,0.0,0.0
"""Evidently,""",0.0,0.0,0.0,1.0,0.0
"""Exactly",0.0,0.0,0.0,1.0,0.0
"""Exceed",0.0,0.0,0.0,0.0,1.0
"""Exceedingly",0.0,0.0,0.0,0.0,1.0
"""Excellent",0.0,0.0,0.0,0.0,1.0
"""Excellent!",0.0,0.0,0.0,2.0,0.0
"""Excellent.",0.0,0.0,0.0,2.0,0.0
"""Except",0.0,0.0,0.0,2.0,0.0
"""Except,""",0.0,0.0,0.0,0.0,1.0
"""Excuse",0.0,0.0,0.0,2.0,2.0
"""Exert",0.0,0.0,0.0,0.0,1.0
"""Experience,""",0.0,0.0,0.0,1.0,0.0
"""Extremely",0.0,0.0,0.0,1.0,0.0
"""FITZWILLIAM",0.0,0.0,0.0,0.0,1.0
"""Faith",1.0,0.0,0.0,0.0,0.0
"""Fame,",0.0,0.0,1.0,0.0,0.0
"""Fancy",0.0,0.0,0.0,1.0,0.0
"""Fanny",0.0,0.0,0.0,0.0,1.0
"""Far",0.0,0.0,0.0,0.0,1.0
"""Farewell,",0.0,0.0,0.0,1.0,0.0
"""Farintosh,""",0.0,0.0,0.0,1.0,0.0
"""Father",1.0,0.0,2.0,0.0,0.0
"""Father!""",0.0,0.0,1.0,0.0,0.0
"""Father's",0.0,0.0,1.0,0.0,0.0
"""Father,",0.0,0.0,2.0,0.0,0.0
"""Fear",1.0,0.0,0.0,0.0,0.0
"""Feather""?'",0.0,0.0,1.0,0.0,0.0
"""Feed",2.0,0.0,0.0,0.0,0.0
"""Ferrars!""",0.0,0.0,0.0,0.0,1.0
"""Fetch",1.0,0.0,1.0,0.0,0.0
"""Fifteen",0.0,0.0,0.0,0.0,1.0
"""Fifty",0.0,0.0,0.0,0.0,1.0
"""Find",1.0,0.0,0.0,0.0,0.0
"""Fine",0.0,0.0,0.0,1.0,0.0
"""Fire!""",0.0,0.0,0.0,2.0,0.0
"""Five",0.0,0.0,0.0,1.0,0.0
"""Five.""",0.0,0.0,1.0,0.0,0.0
"""Fling",0.0,0.0,1.0,0.0,0.0
"""Follow",1.0,0.0,2.0,0.0,0.0
"""Foolish",1.0,0.0,0.0,1.0,0.0
"""For",17.0,4.0,2.0,9.0,8.0
"""For,",0.0,0.0,0.0,1.0,0.0
"""Forbid",1.0,0.0,0.0,0.0,0.0
"""Forest",0.0,0.0,0.0,1.0,0.0
"""Forgive",1.0,0.0,0.0,3.0,1.0
"""Forty",0.0,0.0,0.0,1.0,0.0
